ja,zh-tw
ウインナー,小熱狗
とりもも,雞腿
もも,腿肉
むね,雞胸肉
ささみ,雞柳條
せせり,脖子肉
つくね,雞絞肉
生つくね,生雞絞肉
はつ,雞心
砂肝,雞胗
レバー,肝
かわ,雞皮
なんこつ,軟骨
ぼんじり,雞屁股
うずら,鳥蛋
ねぎま,蔥雞串
豚トロ,松阪豬
ハラミ,橫隔膜
シロ,豬腸
タン,舌
カシラ,豬頭皮
かしら,豬頭肉
ガツ,豬胃
ウデ,牛肩肉
カルビ,五花
ミノ,牛蜂巢肚
カタ,肩胛肉
肩ロース,肩里肌
ロース,里肌
ヒレ,腰內肉
バラ,腹肉
モモ,腿肉
外モモ,外側後腿肉
ゲソ,烏賊腳
子持ちししゃも,帶卵柳葉魚
桜ユッケ,生拌馬肉
ネギトロ,蔥鮪魚
あんこう,鮟鱇魚
ホッケ,花鯽魚
チヂミ,韓式煎餅
焼きギョーザ,煎餃
トンテキ,煎豬排
チャーシュー,叉燒
厚揚げ,油豆腐
いかげそ揚,炸花枝腳鬚
柿の種,醬燒米果
ギョーザ,餃子
おつまみ,下酒小菜
キューリ漬,醃黃瓜
まぜそば,拌麵
やまいも,山藥
たけのこ,竹筍
紅しょうが,紅薑
おくら,秋葵
ししとう／獅子唐,青辣椒
ピーマン,青椒
エリンギ,杏鮑菇
メンマ,筍乾
ニラ,韭菜
ねぎ,蔥
アメリカ,美式
ハイボール,蘇打水混合威士忌的調酒
サワー,蒸餾酒和帶酸味的柑橘類果汁混合的飲料
水割り,加水稀釋
お湯割り,加熱水稀釋
ソーダ割り,加蘇打水稀釋
クレープ,可麗餅
パフェ,芭菲
天丼,天婦羅蓋飯
ボテトフライ,炸薯條
エビマヨ,奶油蝦
玉葱,洋蔥
メンマ,筍乾
のり,海苔
明太ご,明太子
